"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"JP5,JP6,JP7";"SMD_JUMPER_3_PAD_CONNECTED_RIGHT";3;"SMD_JUMPER_3_PAD_CONNECTED_RIGHT";;;
2;"K3,K1";"easyC-connector";2;"easyC-SMD";;;
3;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,";"buzzardLabel";33;"";;;
4;"REF**";"Logo-Back-SolderedFULL-15mm";1;"Logo-Front-SolderedFULL-15mm";;;
5;"R8,R1,R6,R2,R5,R4,R3,R7";"0603R";8;"10k";;;
6;"C4,C3";"0603C";2;"2.2uF";;;
7;"U2";"SOT-363";1;"NMOS-DUAL";;;
8;"FD1";"FIDUCIAL_23";1;"FIDUCIAL";;;
9;"U3";"SOT-23-5";1;"SE5218";;;
10;"G***";"Logo-Back-OSH-3.5mm";1;"LOGO";;;
11;"G***,G***";"Logo-Front-easyC-5mm";2;"LOGO";;;
12;"JP2,JP1";"SMD_JUMPER_3_PAD_TRACE";2;"SMD_JUMPER_3_PAD_TRACE";;;
13;"H1,H2";"HOLE_3.2mm";2;"HOLE_3.2mm";;;
14;"G***";"Logo-Front-Soldered-4mm";1;"LOGO";;;
15;"U1";"MCP23017";1;"MCP23017T-E_SS";;;
16;"JP4";"SMD_JUMPER";1;"SMD_JUMPER";;;
17;"JP3";"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";1;"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";;;
18;"K4,K6";"HEADER_MALE_8X1";2;"HEADER_MALE_8X1";;;
19;"K7";"HEADER_MALE_2X1";1;"HEADER_MALE_2X1";;;
20;"K2";"HEADER_MALE_4X1";1;"HEADER_MALE_4X1";;;
21;"K5";"HEADER_MALE_1X1";1;"HEADER_MALE_1X1";;;
22;"REF**";"Version1.1.1.";1;"Version1.1.1.";;;
23;"REF**";"Symbol-Front-I2C-ADDR-Field";1;"Symbol-Front-I2C-ADDR-Field";;;
