"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C3,C4","2u2","","Soldered footprints:0603C","2",""
"DM1","SKU: 700155","","Soldered footprints:PCB","1",""
"K1,K3","qwiic-SMD","","Soldered footprints:qwiic-connector","2",""
"K2","HEADER_MALE_4X1","","Soldered footprints:HEADER_MALE_4X1","1",""
"K4,K6","HEADER_MALE_8X1","","Soldered footprints:HEADER_MALE_8X1","2",""
"K5","HEADER_MALE_1X1","","Soldered footprints:HEADER_MALE_1X1","1",""
"K7","HEADER_MALE_2X1","","Soldered footprints:HEADER_MALE_2X1","1",""
"R1,R2,R3,R4,R5,R6,R7,R8","10k","","Soldered footprints:0603R","8",""
"U1","MCP23017T-E_SS","","Soldered footprints:MCP23017","1",""
"U2","NMOS-DUAL","","Soldered footprints:SOT-363","1",""
"U3","SE5218","","Soldered footprints:SOT-23-5","1",""
